epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.8125,,0.7258970141410828,,
0,99,,,,0.6875,,0.741463303565979,,
0,109,,,,,,,0.8543689250946045,0.4317837059497833
0,109,,,0.6825938820838928,,0.8159450888633728,,,
1,149,,,,0.6875,,0.6600548624992371,,
1,199,,,,0.9375,,0.2849539518356323,,
1,219,,,,,,,0.9417475461959839,0.2361789047718048
1,219,,,0.8731513023376465,,0.4014947712421417,,,
2,249,,,,0.875,,0.35799652338027954,,
2,299,,,,0.9375,,0.1649356633424759,,
2,329,,,,,,,0.946601927280426,0.16166935861110687
2,329,,,0.9288964867591858,,0.2518188953399658,,,
3,349,,,,1.0,,0.1746339201927185,,
3,399,,,,0.9375,,0.1497514694929123,,
3,439,,,,,,,0.9611650705337524,0.15147508680820465
3,439,,,0.9391353726387024,,0.19563546776771545,,,
4,449,,,,1.0,,0.06516221165657043,,
4,499,,,,0.875,,0.2712288796901703,,
4,549,,,,0.9285714030265808,,0.19284836947917938,,
4,549,,,,,,,0.9708737730979919,0.11085151880979538
4,549,,,0.9516496062278748,,0.15558737516403198,,,
5,599,,,,0.9375,,0.16398712992668152,,
5,649,,,,1.0,,0.05344635993242264,,
5,659,,,,,,,0.9563106894493103,0.12177612632513046
5,659,,,0.9573378562927246,,0.14068622887134552,,,
6,699,,,,0.9375,,0.08917802572250366,,
6,749,,,,0.875,,0.332895427942276,,
6,769,,,,,,,0.9757281541824341,0.09880321472883224
6,769,,,0.9573378562927246,,0.11626961082220078,,,
7,799,,,,1.0,,0.03699453920125961,,
7,849,,,,0.9375,,0.09101613610982895,,
7,879,,,,,,,0.9563106894493103,0.13459540903568268
7,879,,,0.9584755301475525,,0.10939566045999527,,,
8,899,,,,1.0,,0.052002184092998505,,
8,949,,,,1.0,,0.028757059946656227,,
8,989,,,,,,,0.9708737730979919,0.09788211435079575
8,989,,,0.9635949730873108,,0.1079024076461792,,,
9,999,,,,1.0,,0.031103044748306274,,
9,1049,,,,1.0,,0.05172545462846756,,
9,1099,,,,1.0,,0.029225116595625877,,
9,1099,,,,,,,0.9708737730979919,0.1058308333158493
9,1099,,,0.9761092066764832,,0.07990901917219162,,,
10,1149,,,,1.0,,0.025786321610212326,,
10,1199,,,,1.0,,0.010789087973535061,,
10,1209,,,,,,,0.9611650705337524,0.13909751176834106
10,1209,,,0.9653014540672302,,0.09411220252513885,,,
11,1249,,,,1.0,,0.018334046006202698,,
11,1299,,,,1.0,,0.06158094480633736,,
11,1319,,,,,,,0.9611650705337524,0.11551548540592194
11,1319,,,0.9738339185714722,,0.08050588518381119,,,
12,1349,,,,1.0,,0.006707819178700447,,
12,1399,,,,1.0,,0.009633595123887062,,
12,1429,,,,,,,0.9660193920135498,0.10547669976949692
12,1429,,,0.9692832827568054,,0.08493146300315857,,,
13,1449,,,,0.9375,,0.10243231058120728,,
13,1499,,,,1.0,,0.03317919746041298,,
13,1539,,,,,,,0.9757281541824341,0.08879315853118896
13,1539,,,0.9670079350471497,,0.09080493450164795,,,
14,1549,,,,0.9375,,0.08598398417234421,,
14,1599,,,,0.9375,,0.12876154482364655,,
14,1649,,,,1.0,,0.019102390855550766,,
14,1649,,,,,,,0.9611650705337524,0.11079432815313339
14,1649,,,0.977246880531311,,0.06840047240257263,,,
15,1699,,,,1.0,,0.005053080152720213,,
15,1749,,,,0.875,,0.20946015417575836,,
15,1759,,,,,,,0.9611650705337524,0.10403776913881302
15,1759,,,0.977246880531311,,0.0689619854092598,,,
16,1799,,,,0.9375,,0.12995871901512146,,
16,1849,,,,1.0,,0.007179476320743561,,
16,1869,,,,,,,0.9611650705337524,0.12131734192371368
16,1869,,,0.977246880531311,,0.05993923544883728,,,
17,1899,,,,1.0,,0.06868649274110794,,
17,1949,,,,0.9375,,0.12858834862709045,,
17,1979,,,,,,,0.9660193920135498,0.13359121978282928
17,1979,,,0.977246880531311,,0.05573785677552223,,,
18,1999,,,,0.875,,0.1533932089805603,,
18,2049,,,,1.0,,0.009545035660266876,,
18,2089,,,,,,,0.9660193920135498,0.11940670758485794
18,2089,,,0.9800910353660583,,0.058524344116449356,,,
19,2099,,,,1.0,,0.02790350839495659,,
19,2149,,,,1.0,,0.019460981711745262,,
19,2199,,,,1.0,,0.06156083196401596,,
19,2199,,,,,,,0.9708737730979919,0.09941552579402924
19,2199,,,0.9789533615112305,,0.06536338478326797,,,
20,2249,,,,1.0,,0.015267745591700077,,
20,2299,,,,1.0,,0.0033443262800574303,,
20,2309,,,,,,,0.9757281541824341,0.10694570094347
20,2309,,,0.9835039973258972,,0.04863041266798973,,,
21,2310,0.9809523820877075,0.02841022051870823,,,,,,
